method,param,mean_mse,std_mse,mean_nnz,mean_runtime_s,gamma1,mean_iters
ridge,0.001,0.025312114712119905,0.016631263312776996,283.2,0.020044679986312985,,
ridge,0.01,0.025207181667304162,0.016583117700578406,283.2,0.018553259992040695,,
ridge,0.1,0.024593660849652012,0.016131871805481625,283.2,0.015793660003691912,,
ridge,1.0,0.023641217605157222,0.014404967232544632,283.2,0.009685360011644661,,
ridge,10.0,0.023086933380442914,0.01367404458585041,283.2,0.0049745599972084165,,
ridge,100.0,0.02312517372560873,0.013504039808704751,283.2,0.0024720199988223614,,
ridge,1000.0,0.02591380264178441,0.009417484922681314,283.2,0.0015498199965804816,,
lasso,0.0001,0.0230277568960297,0.015638299323418692,191.8,0.040486799995414914,,
lasso,0.0003,0.02193647018764664,0.014636235701335999,136.2,0.03373873999807984,,
lasso,0.001,0.0226590134190789,0.014648915437685444,84.2,0.01373892001574859,,
lasso,0.003,0.025025055691561483,0.015006177206842249,47.4,0.005698720004875213,,
lasso,0.01,0.026968646500294968,0.014314511386050395,21.4,0.00348855999764055,,
lasso,0.03,0.031026878529369466,0.01053431018626004,14.0,0.002914640004746616,,
lasso,0.1,0.0496876381366628,0.007340514716684444,5.8,0.002284019999206066,,
dynamic_lasso,0.0001,0.15931290991493544,0.020401718688530534,249.0,0.0038319599931128322,0.5,2.0
dynamic_lasso,0.0001,0.1593129102979412,0.02040171870758133,248.4,0.003831280011218041,1.0,2.0
dynamic_lasso,0.0001,0.1593129110639528,0.020401718745679417,248.4,0.003822139999829233,2.0,2.0
dynamic_lasso,0.0001,0.1593129125959735,0.02040171882186786,248.4,0.003987180010881275,4.0,2.0
dynamic_lasso,0.0003,0.1593129133182781,0.020401709778556393,248.4,0.003727099997922778,0.5,2.0
dynamic_lasso,0.0003,0.15931291446729395,0.02040170983569595,248.4,0.0035025000106543303,1.0,2.0
dynamic_lasso,0.0003,0.15931291676532022,0.02040170994995207,248.4,0.003519140009302646,2.0,2.0
dynamic_lasso,0.0003,0.15931292136134975,0.02040171017837528,247.0,0.003778700006660074,4.0,2.0
dynamic_lasso,0.001,0.15931292523109947,0.020401678593595953,247.0,0.003901800012681633,0.5,2.0
dynamic_lasso,0.001,0.1593129290611275,0.020401678783914776,244.8,0.0038089399808086456,1.0,2.0
dynamic_lasso,0.001,0.1593129367279024,0.02040167916572862,241.4,0.003888419992290437,2.0,2.0
dynamic_lasso,0.001,0.15931295205867,0.020401679927629503,237.6,0.003918940003495663,4.0,2.0
dynamic_lasso,0.003,0.1593129592924508,0.02040158949628661,239.0,0.003631080000195652,0.5,2.0
dynamic_lasso,0.003,0.15931297080037216,0.0204015900716628,235.4,0.0034960399963892995,1.0,2.0
dynamic_lasso,0.003,0.15931299384458295,0.020401591230665032,229.0,0.003646819991990924,2.0,2.0
dynamic_lasso,0.003,0.15931304007008096,0.02040159365349133,220.4,0.003699999977834523,4.0,2.0
dynamic_lasso,0.01,0.15931307891956875,0.020401277825397926,220.2,0.0038751599960960446,0.5,2.0
dynamic_lasso,0.01,0.1593131175109634,0.020401279879319386,212.4,0.003869179985485971,1.0,2.0
dynamic_lasso,0.01,0.15931319505360053,0.020401284361707964,200.2,0.003860600001644343,2.0,2.0
dynamic_lasso,0.01,0.15931335198500066,0.020401293473265567,185.2,0.0038550799945369363,4.0,2.0
dynamic_lasso,0.03,0.15931342452011857,0.02040038891648595,188.4,0.003939160006120801,0.5,2.0
dynamic_lasso,0.03,0.15931354331113243,0.02040039573434594,176.4,0.003944559977389872,1.0,2.0
dynamic_lasso,0.03,0.15931378530221238,0.02040040996619436,162.4,0.0038104600040242075,2.0,2.0
dynamic_lasso,0.03,0.15931428009012177,0.020400441155619793,136.6,0.0038855000166222453,4.0,2.0
dynamic_lasso,0.1,0.1593143427149921,0.02039774904912559,123.4,0.003986259992234409,0.5,3.0
dynamic_lasso,0.1,0.15931478962112772,0.020397787428338362,115.4,0.003994919988326728,1.0,3.0
dynamic_lasso,0.1,0.15931534258833646,0.020398156257981893,93.6,0.0042884600115939975,2.0,4.0
dynamic_lasso,0.1,0.15931683159784757,0.02039881365311102,77.6,0.00443171999650076,4.0,7.0
